Symbol,Name,Symbol - Name
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,ABR^D - Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,ABR^E - Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,ABR^F - Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share
ABSI,Absci Corporation Common Stock,ABSI - Absci Corporation Common Stock
ABST,Absolute Software Corporation Common Stock,ABST - Absolute Software Corporation Common Stock
ABT,Abbott Laboratories Common Stock,ABT - Abbott Laboratories Common Stock
ABTX,Allegiance Bancshares Inc. Common Stock,ABTX - Allegiance Bancshares Inc. Common Stock
ABUS,Arbutus Biopharma Corporation Common Stock,ABUS - Arbutus Biopharma Corporation Common Stock
ABVC,ABVC BioPharma Inc. Common Stock,ABVC - ABVC BioPharma Inc. Common Stock
AC,Associated Capital Group Inc. Common Stock,AC - Associated Capital Group Inc. Common Stock
ACA,Arcosa Inc. Common Stock ,ACA - Arcosa Inc. Common Stock 
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,ACAD - ACADIA Pharmaceuticals Inc. Common Stock
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,ACAH - Atlantic Coastal Acquisition Corp. Class A Common Stock
ACAHU,Atlantic Coastal Acquisition Corp. Unit,ACAHU - Atlantic Coastal Acquisition Corp. Unit
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,ACAHW - Atlantic Coastal Acquisition Corp. Warrant
ACB,Aurora Cannabis Inc. Common Shares,ACB - Aurora Cannabis Inc. Common Shares
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,ACBA - Ace Global Business Acquisition Limited Ordinary Shares
ACBAU,Ace Global Business Acquisition Limited Unit,ACBAU - Ace Global Business Acquisition Limited Unit
ACBAW,Ace Global Business Acquisition Limited Warrant,ACBAW - Ace Global Business Acquisition Limited Warrant
ACBI,Atlantic Capital Bancshares Inc. Common Stock,ACBI - Atlantic Capital Bancshares Inc. Common Stock
ACC,American Campus Communities Inc Common Stock,ACC - American Campus Communities Inc Common Stock
ACCD,Accolade Inc. Common Stock,ACCD - Accolade Inc. Common Stock
ACCO,Acco Brands Corporation Common Stock,ACCO - Acco Brands Corporation Common Stock
ACEL,Accel Entertainment Inc. ,ACEL - Accel Entertainment Inc. 
ACER,Acer Therapeutics Inc. Common Stock (DE),ACER - Acer Therapeutics Inc. Common Stock (DE)
ACET,Adicet Bio Inc. Common Stock ,ACET - Adicet Bio Inc. Common Stock 
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,ACEV - ACE Convergence Acquisition Corp. Class A Ordinary Shares
ACEVU,ACE Convergence Acquisition Corp. Unit,ACEVU - ACE Convergence Acquisition Corp. Unit
ACEVW,ACE Convergence Acquisition Corp. Warrant,ACEVW - ACE Convergence Acquisition Corp. Warrant
ACGL,Arch Capital Group Ltd. Common Stock,ACGL - Arch Capital Group Ltd. Common Stock
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,ACGLN - Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,ACGLO - Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F
ACH,Aluminum Corporation of China Limited American Depositary Shares,ACH - Aluminum Corporation of China Limited American Depositary Shares
ACHC,Acadia Healthcare Company Inc. Common Stock,ACHC - Acadia Healthcare Company Inc. Common Stock
ACHL,Achilles Therapeutics plc American Depositary Shares,ACHL - Achilles Therapeutics plc American Depositary Shares
ACHR,Archer Aviation Inc. Class A Common Stock,ACHR - Archer Aviation Inc. Class A Common Stock
ACHV,Achieve Life Sciences Inc. Common Shares,ACHV - Achieve Life Sciences Inc. Common Shares
ACI,Albertsons Companies Inc. Class A Common Stock,ACI - Albertsons Companies Inc. Class A Common Stock
ACII,Atlas Crest Investment Corp. II Class A Common Stock,ACII - Atlas Crest Investment Corp. II Class A Common Stock
ACIU,AC Immune SA Common Stock,ACIU - AC Immune SA Common Stock
ACIW,ACI Worldwide Inc. Common Stock,ACIW - ACI Worldwide Inc. Common Stock
ACKIT,Ackrell SPAC Partners I Co. Subunits,ACKIT - Ackrell SPAC Partners I Co. Subunits
ACKIU,Ackrell SPAC Partners I Co. Units,ACKIU - Ackrell SPAC Partners I Co. Units
ACKIW,Ackrell SPAC Partners I Co. Warrants,ACKIW - Ackrell SPAC Partners I Co. Warrants
ACLS,Axcelis Technologies Inc. Common Stock,ACLS - Axcelis Technologies Inc. Common Stock
ACM,AECOM Common Stock,ACM - AECOM Common Stock
ACMR,ACM Research Inc. Class A Common Stock,ACMR - ACM Research Inc. Class A Common Stock
ACN,Accenture plc Class A Ordinary Shares (Ireland),ACN - Accenture plc Class A Ordinary Shares (Ireland)
ACNB,ACNB Corporation Common Stock,ACNB - ACNB Corporation Common Stock
ACOR,Acorda Therapeutics Inc. Common Stock,ACOR - Acorda Therapeutics Inc. Common Stock
ACP,Aberdeen Income Credit Strategies Fund Common Shares,ACP - Aberdeen Income Credit Strategies Fund Common Shares
ACP^A,Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,ACP^A - Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock
ACQR,Independence Holdings Corp. Class A Ordinary Share,ACQR - Independence Holdings Corp. Class A Ordinary Share
ACQRU,Independence Holdings Corp. Units,ACQRU - Independence Holdings Corp. Units
ACQRW,Independence Holdings Corp. Warrant,ACQRW - Independence Holdings Corp. Warrant
ACR,ACRES Commercial Realty Corp. Common Stock,ACR - ACRES Commercial Realty Corp. Common Stock
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,ACR^C - ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock 
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,ACR^D - ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock
ACRE,Ares Commercial Real Estate Corporation Common Stock,ACRE - Ares Commercial Real Estate Corporation Common Stock
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,ACRO - Acropolis Infrastructure Acquisition Corp. Class A Common Stock
ACRS,Aclaris Therapeutics Inc. Common Stock,ACRS - Aclaris Therapeutics Inc. Common Stock
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,ACRX - AcelRx Pharmaceuticals Inc. Common Stock
ACST,Acasti Pharma Inc. Class A Common Stock,ACST - Acasti Pharma Inc. Class A Common Stock
ACT,Enact Holdings Inc. Common Stock,ACT - Enact Holdings Inc. Common Stock
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,ACTD - ArcLight Clean Transition Corp. II Class A Ordinary Share
ACTDU,ArcLight Clean Transition Corp. II Unit,ACTDU - ArcLight Clean Transition Corp. II Unit
ACTDW,ArcLight Clean Transition Corp. II Warrant,ACTDW - ArcLight Clean Transition Corp. II Warrant
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,ACTG - Acacia Research Corporation (Acacia Tech) Common Stock
ACU,Acme United Corporation. Common Stock,ACU - Acme United Corporation. Common Stock
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,ACV - Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest
ACVA,ACV Auctions Inc. Class A Common Stock,ACVA - ACV Auctions Inc. Class A Common Stock
ACXP,Acurx Pharmaceuticals Inc. Common Stock,ACXP - Acurx Pharmaceuticals Inc. Common Stock
ACY,AeroCentury Corp. Common Stock,ACY - AeroCentury Corp. Common Stock
ADAG,Adagene Inc. American Depositary Shares,ADAG - Adagene Inc. American Depositary Shares
ADALU,Anthemis Digital Acquisitions I Corp Unit,ADALU - Anthemis Digital Acquisitions I Corp Unit
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,ADAP - Adaptimmune Therapeutics plc American Depositary Shares
ADBE,Adobe Inc. Common Stock,ADBE - Adobe Inc. Common Stock
ADC,Agree Realty Corporation Common Stock,ADC - Agree Realty Corporation Common Stock
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,ADC^A - Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock
ADCT,ADC Therapeutics SA Common Shares,ADCT - ADC Therapeutics SA Common Shares
ADER,26 Capital Acquisition Corp. Class A Common Stock,ADER - 26 Capital Acquisition Corp. Class A Common Stock
ADERW,26 Capital Acquisition Corp. Warrant,ADERW - 26 Capital Acquisition Corp. Warrant
ADES,Advanced Emissions Solutions Inc. Common Stock,ADES - Advanced Emissions Solutions Inc. Common Stock
ADEX,Adit EdTech Acquisition Corp. Common Stock,ADEX - Adit EdTech Acquisition Corp. Common Stock
ADF,Aldel Financial Inc. Class A Common Stock,ADF - Aldel Financial Inc. Class A Common Stock
ADGI,Adagio Therapeutics Inc. Common Stock,ADGI - Adagio Therapeutics Inc. Common Stock
ADI,Analog Devices Inc. Common Stock,ADI - Analog Devices Inc. Common Stock
ADIL,Adial Pharmaceuticals Inc Common Stock,ADIL - Adial Pharmaceuticals Inc Common Stock
ADILW,Adial Pharmaceuticals Inc Warrant,ADILW - Adial Pharmaceuticals Inc Warrant
ADM,Archer-Daniels-Midland Company Common Stock,ADM - Archer-Daniels-Midland Company Common Stock
ADMA,ADMA Biologics Inc Common Stock,ADMA - ADMA Biologics Inc Common Stock
ADMP,Adamis Pharmaceuticals Corporation Common Stock,ADMP - Adamis Pharmaceuticals Corporation Common Stock
ADMS,Adamas Pharmaceuticals Inc. Common Stock,ADMS - Adamas Pharmaceuticals Inc. Common Stock
ADN,Advent Technologies Holdings Inc. Class A Common Stock,ADN - Advent Technologies Holdings Inc. Class A Common Stock
ADNT,Adient plc Ordinary Shares ,ADNT - Adient plc Ordinary Shares 
ADNWW,Advent Technologies Holdings Inc. Warrant,ADNWW - Advent Technologies Holdings Inc. Warrant
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,ADOC - Edoc Acquisition Corp. Class A Ordinary Share
ADOCR,Edoc Acquisition Corp. Right,ADOCR - Edoc Acquisition Corp. Right
ADOCW,Edoc Acquisition Corp. Warrant,ADOCW - Edoc Acquisition Corp. Warrant
ADP,Automatic Data Processing Inc. Common Stock,ADP - Automatic Data Processing Inc. Common Stock
ADPT,Adaptive Biotechnologies Corporation Common Stock,ADPT - Adaptive Biotechnologies Corporation Common Stock
ADRA,Adara Acquisition Corp. Class A Common Stock,ADRA - Adara Acquisition Corp. Class A Common Stock
ADS,Alliance Data Systems Corporation Common Stock,ADS - Alliance Data Systems Corporation Common Stock
ADSK,Autodesk Inc. Common Stock,ADSK - Autodesk Inc. Common Stock
ADT,ADT Inc. Common Stock,ADT - ADT Inc. Common Stock
ADTN,ADTRAN Inc. Common Stock,ADTN - ADTRAN Inc. Common Stock
ADTX,Aditxt Inc. Common Stock,ADTX - Aditxt Inc. Common Stock
ADUS,Addus HomeCare Corporation Common Stock,ADUS - Addus HomeCare Corporation Common Stock
ADV,Advantage Solutions Inc. Class A Common Stock,ADV - Advantage Solutions Inc. Class A Common Stock
ADVM,Adverum Biotechnologies Inc. Common Stock,ADVM - Adverum Biotechnologies Inc. Common Stock
ADVWW,Advantage Solutions Inc. Warrant,ADVWW - Advantage Solutions Inc. Warrant
ADX,Adams Diversified Equity Fund Inc.,ADX - Adams Diversified Equity Fund Inc.
ADXN,Addex Therapeutics Ltd American Depositary Shares,ADXN - Addex Therapeutics Ltd American Depositary Shares
ADXS,Advaxis Inc. Common Stock,ADXS - Advaxis Inc. Common Stock
AE,Adams Resources & Energy Inc. Common Stock,AE - Adams Resources & Energy Inc. Common Stock
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,AEAC - Authentic Equity Acquisition Corp. Class A ordinary share
AEACU,Authentic Equity Acquisition Corp. Unit,AEACU - Authentic Equity Acquisition Corp. Unit
AEACW,Authentic Equity Acquisition Corp. Warrant,AEACW - Authentic Equity Acquisition Corp. Warrant
AEAEU,AltEnergy Acquisition Corp. Unit,AEAEU - AltEnergy Acquisition Corp. Unit
AEE,Ameren Corporation Common Stock,AEE - Ameren Corporation Common Stock
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,AEF - Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,AEFC - Aegon Funding Company LLC 5.10% Subordinated Notes due 2049
AEG,AEGON N.V. Common Stock,AEG - AEGON N.V. Common Stock
AEHA,Aesther Healthcare Acquisition Corp Class A Common Stock,AEHA - Aesther Healthcare Acquisition Corp Class A Common Stock
AEHAW,Aesther Healthcare Acquisition Corp Warrants,AEHAW - Aesther Healthcare Acquisition Corp Warrants
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),AEHL - Antelope Enterprise Holdings Limited Common Stock (0.024 par)
AEHR,Aehr Test Systems Common Stock,AEHR - Aehr Test Systems Common Stock
AEI,Alset EHome International Inc. Common Stock,AEI - Alset EHome International Inc. Common Stock
AEIS,Advanced Energy Industries Inc. Common Stock,AEIS - Advanced Energy Industries Inc. Common Stock
AEL,American Equity Investment Life Holding Company Common Stock,AEL - American Equity Investment Life Holding Company Common Stock
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,AEL^A - American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,AEL^B - American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B
AEM,Agnico Eagle Mines Limited Common Stock,AEM - Agnico Eagle Mines Limited Common Stock
AEMD,Aethlon Medical Inc. Common Stock,AEMD - Aethlon Medical Inc. Common Stock
AENZ,Aenza S.A.A. American Depositary Shares,AENZ - Aenza S.A.A. American Depositary Shares
AEO,American Eagle Outfitters Inc. Common Stock,AEO - American Eagle Outfitters Inc. Common Stock
AEP,American Electric Power Company Inc. Common Stock,AEP - American Electric Power Company Inc. Common Stock
AEPPL,American Electric Power Company Inc. Corporate Unit,AEPPL - American Electric Power Company Inc. Corporate Unit
AEPPZ,American Electric Power Company Inc. Corporate Units,AEPPZ - American Electric Power Company Inc. Corporate Units
AER,AerCap Holdings N.V. Ordinary Shares,AER - AerCap Holdings N.V. Ordinary Shares
AERC,AeroClean Technologies Inc. Common Stock,AERC - AeroClean Technologies Inc. Common Stock
AERI,Aerie Pharmaceuticals Inc. Common Stock,AERI - Aerie Pharmaceuticals Inc. Common Stock
AES,The AES Corporation Common Stock,AES - The AES Corporation Common Stock
AESC,The AES Corporation Corporate Units,AESC - The AES Corporation Corporate Units
AESE,Allied Esports Entertainment Inc. Common Stock,AESE - Allied Esports Entertainment Inc. Common Stock
AEVA,Aeva Technologies Inc. Common Stock,AEVA - Aeva Technologies Inc. Common Stock
AEY,ADDvantage Technologies Group Inc. Common Stock,AEY - ADDvantage Technologies Group Inc. Common Stock
AEYE,AudioEye Inc. Common Stock,AEYE - AudioEye Inc. Common Stock
AEZS,Aeterna Zentaris Inc. Common Stock,AEZS - Aeterna Zentaris Inc. Common Stock
AFACU,Arena Fortify Acquisition Corp. Unit,AFACU - Arena Fortify Acquisition Corp. Unit
AFAQ,AF Acquisition Corp. Class A Common Stock,AFAQ - AF Acquisition Corp. Class A Common Stock
AFAQU,AF Acquisition Corp. Units,AFAQU - AF Acquisition Corp. Units
AFAQW,AF Acquisition Corp. Warrants,AFAQW - AF Acquisition Corp. Warrants
AFB,AllianceBernstein National Municipal Income Fund Inc,AFB - AllianceBernstein National Municipal Income Fund Inc
AFBI,Affinity Bancshares Inc. Common Stock (MD),AFBI - Affinity Bancshares Inc. Common Stock (MD)
AFCG,AFC Gamma Inc. Common Stock,AFCG - AFC Gamma Inc. Common Stock
AFG,American Financial Group Inc. Common Stock,AFG - American Financial Group Inc. Common Stock
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,AFGB - American Financial Group Inc. 5.875% Subordinated Debentures due 2059
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,AFGC - American Financial Group Inc. 5.125% Subordinated Debentures due 2059
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,AFGD - American Financial Group Inc. 5.625% Subordinated Debentures due 2060
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,AFGE - American Financial Group Inc. 4.500% Subordinated Debentures due 2060
AFI,Armstrong Flooring Inc. Common Stock,AFI - Armstrong Flooring Inc. Common Stock
AFIB,Acutus Medical Inc. Common Stock,AFIB - Acutus Medical Inc. Common Stock
AFIN,American Finance Trust Inc. Class A Common Stock,AFIN - American Finance Trust Inc. Class A Common Stock
AFINO,American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock,AFINO - American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock
AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,AFINP - American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock
AFL,AFLAC Incorporated Common Stock,AFL - AFLAC Incorporated Common Stock
AFMD,Affimed N.V.,AFMD - Affimed N.V.
AFRM,Affirm Holdings Inc. Class A Common Stock,AFRM - Affirm Holdings Inc. Class A Common Stock
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,AFT - Apollo Senior Floating Rate Fund Inc. Common Stock
AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,AFTR - AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares
AFYA,Afya Limited Class A Common Shares,AFYA - Afya Limited Class A Common Shares
AG,First Majestic Silver Corp. Ordinary Shares (Canada),AG - First Majestic Silver Corp. Ordinary Shares (Canada)
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,AGAC - African Gold Acquisition Corporation Class A Ordinary Shares
AGBA,AGBA Acquisition Limited Ordinary Share,AGBA - AGBA Acquisition Limited Ordinary Share
AGBAR,AGBA Acquisition Limited Right,AGBAR - AGBA Acquisition Limited Right
AGBAW,AGBA Acquisition Limited Warrant,AGBAW - AGBA Acquisition Limited Warrant
AGC,Altimeter Growth Corp. Class A Ordinary Shares,AGC - Altimeter Growth Corp. Class A Ordinary Shares
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,AGCB - Altimeter Growth Corp. 2 Class A Ordinary Shares
AGCO,AGCO Corporation Common Stock,AGCO - AGCO Corporation Common Stock
AGCUU,Altimeter Growth Corp. Unit,AGCUU - Altimeter Growth Corp. Unit
AGCWW,Altimeter Growth Corp. Warrant,AGCWW - Altimeter Growth Corp. Warrant
AGD,Aberdeen Global Dynamic Dividend Fund,AGD - Aberdeen Global Dynamic Dividend Fund
AGE,AgeX Therapeutics Inc. Common Stock,AGE - AgeX Therapeutics Inc. Common Stock
AGEN,Agenus Inc. Common Stock,AGEN - Agenus Inc. Common Stock
AGFS,AgroFresh Solutions Inc. Common Stock,AGFS - AgroFresh Solutions Inc. Common Stock
AGFY,Agrify Corporation Common Stock,AGFY - Agrify Corporation Common Stock
AGGR,Agile Growth Corp. Class A Ordinary Share,AGGR - Agile Growth Corp. Class A Ordinary Share
AGGRU,Agile Growth Corp. Units,AGGRU - Agile Growth Corp. Units
AGGRW,Agile Growth Corp. Warrant.,AGGRW - Agile Growth Corp. Warrant.
AGI,Alamos Gold Inc. Class A Common Shares,AGI - Alamos Gold Inc. Class A Common Shares
AGIL,AgileThought Inc. Class A Common Stock,AGIL - AgileThought Inc. Class A Common Stock
AGILW,AgileThought Inc. Warrant,AGILW - AgileThought Inc. Warrant
AGIO,Agios Pharmaceuticals Inc. Common Stock,AGIO - Agios Pharmaceuticals Inc. Common Stock
AGL,agilon health inc. Common Stock,AGL - agilon health inc. Common Stock
AGLE,Aeglea BioTherapeutics Inc. Common Stock,AGLE - Aeglea BioTherapeutics Inc. Common Stock
AGM,Federal Agricultural Mortgage Corporation Common Stock,AGM - Federal Agricultural Mortgage Corporation Common Stock
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,AGM^C - Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,AGM^D - Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,AGM^E - Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,AGM^F - Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,AGM^G - Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,AGMH - AGM Group Holdings Inc. Class A Ordinary Shares
AGNC,AGNC Investment Corp. Common Stock,AGNC - AGNC Investment Corp. Common Stock
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCM - AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,AGNCN - AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCO - AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,AGNCP - AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
AGO,Assured Guaranty Ltd. Common Stock,AGO - Assured Guaranty Ltd. Common Stock
AGR,Avangrid Inc. Common Stock,AGR - Avangrid Inc. Common Stock
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,AGRI - AgriFORCE  Growing Systems Ltd. Common Shares
